0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:52 -0300] "GET /Projeto/css/img/icons/local.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:52 -0300] "GET /Projeto/css/img/icons/git.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:52 -0300] "GET /Projeto/css/img/icons/likedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:52 -0300] "GET /Projeto/css/img/icons/face.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:52 -0300] "GET /Projeto/css/img/icons/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:04 -0300] "GET /Projeto/erroLogin.jsp HTTP/1.1" 200 7694
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:04 -0300] "GET /Projeto/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:04 -0300] "GET /Projeto/js/jqParallax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:04 -0300] "GET /Projeto/js/jqvalida.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:04 -0300] "GET /Projeto/js/mascara.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:06 -0300] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:07 -0300] "GET /Projeto/css/boot/topo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:07 -0300] "GET /Projeto/css/boot/conteudo.css HTTP/1.1" 200 17475
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:07 -0300] "GET /Projeto/css/boot/rodape.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:07 -0300] "GET /Projeto/css/boot/parallax.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:07 -0300] "GET /Projeto/css/img/iconSearch.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:07 -0300] "GET /Projeto/css/img/icons/face.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:07 -0300] "GET /Projeto/css/img/icons/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:07 -0300] "GET /Projeto/css/img/icons/likedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:07 -0300] "GET /Projeto/css/img/icons/git.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:07 -0300] "GET /Projeto/css/img/icons/local.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:23 -0300] "GET /Projeto/erroLogin.jsp HTTP/1.1" 200 7723
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:23 -0300] "GET /Projeto/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:23 -0300] "GET /Projeto/js/jqParallax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:23 -0300] "GET /Projeto/js/jqvalida.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:23 -0300] "GET /Projeto/js/mascara.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:24 -0300] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:24 -0300] "GET /Projeto/css/boot/topo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:24 -0300] "GET /Projeto/css/boot/conteudo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:24 -0300] "GET /Projeto/css/boot/rodape.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:24 -0300] "GET /Projeto/css/boot/parallax.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:24 -0300] "GET /Projeto/css/img/iconSearch.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:24 -0300] "GET /Projeto/css/img/icons/local.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:24 -0300] "GET /Projeto/css/img/icons/git.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:24 -0300] "GET /Projeto/css/img/icons/likedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:24 -0300] "GET /Projeto/css/img/icons/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:24 -0300] "GET /Projeto/css/img/icons/face.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:54 -0300] "GET /Projeto/erroLogin.jsp HTTP/1.1" 200 7723
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:54 -0300] "GET /Projeto/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:54 -0300] "GET /Projeto/js/jqParallax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:54 -0300] "GET /Projeto/js/jqvalida.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:54 -0300] "GET /Projeto/js/mascara.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:55 -0300] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:56 -0300] "GET /Projeto/css/boot/topo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:56 -0300] "GET /Projeto/css/boot/conteudo.css HTTP/1.1" 200 17512
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:56 -0300] "GET /Projeto/css/boot/rodape.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:56 -0300] "GET /Projeto/css/boot/parallax.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:56 -0300] "GET /Projeto/css/img/iconSearch.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:56 -0300] "GET /Projeto/css/img/icons/face.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:56 -0300] "GET /Projeto/css/img/icons/likedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:56 -0300] "GET /Projeto/css/img/icons/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:03:56 -0300] "GET /Projeto/css/img/icons/git.png HTTP/1.1" 304 -
